,section,row,price,quantity
393,CLB137,E,243.8,2
394,LOGE12,4,245.0,2
395,LOGE9,8,247.64,2
396,CLUB 145,E,249.6,2
397,Club 141,B,250.0,1
398,Club 107,B,250.0,3
399,BAL316,2,252.21,4
400,BAL330,2,254.85,2
401,LOGE12,9,255.0,2
402,LOGE2,10,258.22,2
403,LOGE19,15,258.46,1
404,LOGE12,18,259.0,2
405,CLB107,E,260.0,3
406,LOGE21,2,265.0,2
407,Loge Side 10,7,265.0,2
408,LOGE14,3,265.0,2
409,Loge Side 2,8,270.0,2
410,Loge Side 13,9,275.0,2
411,LOGE9,8,275.29,3
412,LOGE12,13,276.0,2
413,BAL322,14,276.49,2
414,Club 145,E,278.0,2
415,LOGE5,14,283.7,2
416,LOGE9,16,285.14,2
417,LOGE22,13,289.47,2
418,LOGE17,4,289.47,2
419,LOGE6,13,289.71,3
420,LOGE6,14,289.71,3
421,Loge Side 2,14,290.0,2
422,LOGE19,6,290.91,2
423,LOGE16,14,290.91,2
424,LOGE11,3,290.91,2
425,Loge Side 3,4,290.95,3
426,Loge Side 13,17,295.0,2
427,LOGE5,25,302.7,5
428,Loge Side 11,7,305.0,2
429,LOGE1,3,305.0,4
430,LOGE21,6,305.34,2
431,LOGE7,25,305.34,2
432,LOGE11,12,306.8,4
433,LOGE GLASS 12,1,307.0,3
434,LOGE8,21,308.23,2
435,CLUB 139,CC,311.6,4
436,Loge Center Ice 1,4,315.0,2
437,LOGE7,24,325.78,4
438,LOGE6,5,326.98,2
439,CLUB 141,CC,335.57,2
440,LOGE14,3,348.62,2
441,LOGE1,4,368.5,2
442,LOGE12,8,391.89,2
443,LOGE1,13,397.9,3
444,LOGE17,1,543.36,2
445,LOGE12,12,578.22,4
446,LegendsPassNOTicket,GA,11.0,2
447,LEGENDS CLUB,PASS,28.76,2
